2018-08-19 15:26:46.121 [main] INFO  com.dk.gym.pool.ConnectionPool - Successfully initialized connection pool. PoolSize: 8
2018-08-19 15:26:46.146 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 7
2018-08-19 15:26:46.146 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 1
2018-08-19 15:26:46.146 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 8
2018-08-19 15:26:46.146 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 6
2018-08-19 15:26:46.149 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 2
2018-08-19 15:26:46.149 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 8
2018-08-19 15:26:46.149 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 5
2018-08-19 15:26:46.149 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 3
2018-08-19 15:26:46.150 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 8
2018-08-19 15:26:46.150 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 4
2018-08-19 15:26:46.150 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 4
2018-08-19 15:26:46.150 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 8
2018-08-19 15:26:46.150 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 3
2018-08-19 15:26:46.150 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 5
2018-08-19 15:26:46.151 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 8
2018-08-19 15:26:46.151 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 2
2018-08-19 15:26:46.151 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 6
2018-08-19 15:26:46.151 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 8
2018-08-19 15:26:46.151 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.151 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 7
2018-08-19 15:26:46.151 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 8
2018-08-19 15:26:46.160 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.160 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 8
2018-08-19 15:26:46.160 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 9
2018-08-19 15:26:46.172 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.173 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 9
2018-08-19 15:26:46.173 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 10
2018-08-19 15:26:46.187 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.188 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 10
2018-08-19 15:26:46.188 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 11
2018-08-19 15:26:46.210 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.210 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 11
2018-08-19 15:26:46.210 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 12
2018-08-19 15:26:46.227 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.227 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 12
2018-08-19 15:26:46.227 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 13
2018-08-19 15:26:46.242 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.242 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 13
2018-08-19 15:26:46.243 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 14
2018-08-19 15:26:46.248 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.248 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 14
2018-08-19 15:26:46.249 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 15
2018-08-19 15:26:46.255 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.255 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 15
2018-08-19 15:26:46.255 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 16
2018-08-19 15:26:46.275 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.275 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 16
2018-08-19 15:26:46.275 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 17
2018-08-19 15:26:46.293 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.293 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 17
2018-08-19 15:26:46.293 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 18
2018-08-19 15:26:46.314 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.314 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 18
2018-08-19 15:26:46.314 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 19
2018-08-19 15:26:46.324 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.325 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 19
2018-08-19 15:26:46.325 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 20
2018-08-19 15:26:46.347 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.347 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 20
2018-08-19 15:26:46.347 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 21
2018-08-19 15:26:46.377 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.377 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 21
2018-08-19 15:26:46.378 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 22
2018-08-19 15:26:46.416 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.416 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 22
2018-08-19 15:26:46.416 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 23
2018-08-19 15:26:46.422 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.423 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 23
2018-08-19 15:26:46.424 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 24
2018-08-19 15:26:46.451 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.451 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 24
2018-08-19 15:26:46.451 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 25
2018-08-19 15:26:46.468 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.468 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 25
